tab	samples
sample	site	specimens	dir_comp_name	dir_dec	dir_inc	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_tilt_correction	lat	lon	geologic_classes	geologic_types	lithologies	criteria	description	software_packages	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	dip	orientation_quality	citations	method_codes	timestamp	timestamp	timestamp	timestamp	location	sample_direction_type
ns007d	ns007	ns007d1	HEM	311.6	30.9	1	1	0	0						DE-SPEC		pmagpy-2.03							This study	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO					North Shore Volcanics	l
ns007e	ns007									47.70123	269.46093	Igneous : Extrusive	Lava Flow	Basalt				268	0	12	167	-26	g	This study	FS-FD : SO-POM : SO-GT5 : SO-MAG	2006:07:09:00:00:00.00		2006:07:09:00:00:00.00		North Shore Volcanics	
ns007f	ns007	ns007f1	HEM	305.9	41.5	1	1	0	100						DE-SPEC		pmagpy-2.03							This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO : DA-DIR-TILT					North Shore Volcanics	l
ns007f	ns007	ns007f1	HEM	311.5	32.1	1	1	0	0						DE-SPEC		pmagpy-2.03							This study	LP-DIR-AF : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO					North Shore Volcanics	l
ns007f	ns007									47.70123	269.46093	Igneous : Extrusive	Lava Flow	Basalt				258.2	358.2	12	167	-68	g	This study	FS-FD : SO-POM : SO-CMD-NORTH	2006:07:09:00:00:00.00		2006:07:09:00:00:00.00		North Shore Volcanics	
ns007g	ns007	ns007g1	HEM	303.4	36.1	1	1	0	100						DE-SPEC		pmagpy-2.03							This study	LP-DIR-T : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO : DA-DIR-TILT					North Shore Volcanics	l
ns007g	ns007	ns007g1	HEM	308.3	27.1	1	1	0	0						DE-SPEC		pmagpy-2.03							This study	LP-DIR-T : SO-CMD-NORTH : DE-BFL : DA-DIR-GEO					North Shore Volcanics	l
ns007g	ns007									47.70123	269.46093	Igneous : Extrusive	Lava Flow	Basalt				295.2	358.2	12	167	-67	g	This study	FS-FD : SO-POM : SO-CMD-NORTH	2006:07:09:00:00:00.00		2006:07:09:00:00:00.00		North Shore Volcanics	
ns008a	ns008	ns008a1	HEM	318.7	44.8	1	1	0	100						DE-SPEC		pmagpy-2.03							This study	LP-DIR-AF : LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO : DA-DIR-TILT					North Shore Volcanics	l
ns008a	ns008									47.60108	269.21345	Igneous : Intrusive	Sill	Diorite				260.6	0	12	159	-96	g	This study	FS-FD : SO-POM : SO-SUN	2006:07:10:00:00:00.00		2006:07:10:00:00:00.00		North Shore Volcanics	
ns008a	ns008	ns008a1	HEM	321.8	33.4	1	1	0	0						DE-SPEC		pmagpy-2.03							This study	LP-DIR-AF : LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO					North Shore Volcanics	l
